id,date,user,pc,activity
{M0O8-M0XH02EZ-7860XHZK},01-04-2010 07:25,ACK0013,PC-0206,Logon
{Y0F8-R5JV59JO-7344FEMG},01-04-2010 16:19,ACK0013,PC-0206,Logoff
{F5D9-G0XS67ZG-7190YVDC},01-04-2010 07:42,CES0014,PC-2611,Logon
{W0B1-L9XV06GK-3115APNC},01-04-2010 17:34,CES0014,PC-2611,Logoff
{U5O9-R4BB41AA-0101XLQI},01-04-2010 07:19,GDM0015,PC-5640,Logon
{G9K2-B3XP44DN-7905AFRQ},01-04-2010 10:59,GDM0015,PC-5640,Logon
{S3R8-U1NF43RS-8389MZPZ},01-04-2010 18:06,GDM0015,PC-5640,Logoff
{R2I6-R0FK31OE-6726EHQQ},01-04-2010 09:10,HNR0016,PC-1015,Logon
{C4Q7-C5NC22HA-2154QUGN},01-04-2010 16:48,HNR0016,PC-1015,Logoff
{Y0F2-P1TN96ZP-5109ZQPK},01-04-2010 07:54,AAW0017,PC-1437,Logon
{U0F4-J0JC04MW-9468UICD},01-04-2010 16:39,AAW0017,PC-1437,Logoff
{F4W8-G2SO47FG-2924GWFS},01-04-2010 08:43,BBL0018,PC-1960,Logon
{L2X0-J7IY46LT-1125GGDO},01-04-2010 14:25,BBL0018,PC-1960,Logon
{N0E7-L8CH42FF-7943MBCS},01-04-2010 17:46,BBL0018,PC-1960,Logoff
{G9A7-D7WI94ZN-8953FJGR},01-04-2010 06:33,GJC0019,PC-0199,Logon
{X4F8-U9HM19LR-0656AZIX},01-04-2010 13:41,GJC0019,PC-0199,Logoff
{N5B1-A9FT66WT-5522VQTG},01-04-2010 07:37,JJD0020,PC-8338,Logon
{Y0T7-Q2WL90BC-5777AQLV},01-04-2010 18:41,JJD0020,PC-8338,Logoff
{L4M9-Z0LN19MY-1521WYDW},01-04-2010 06:32,DCW0021,PC-3621,Logon
{X4A9-W8SX71KN-7341KJFB},01-04-2010 15:50,DCW0021,PC-3621,Logoff
{L8J8-N7CX18VQ-3692SKWV},01-04-2010 08:05,AMJ0022,PC-8828,Logon
{E8R6-K2PN73JI-2869IJNS},01-04-2010 16:51,AMJ0022,PC-8828,Logoff
{P3B7-U7RA19LQ-2254AQCH},01-04-2010 08:37,RCC0023,PC-5889,Logon
{L8R4-F0GA76TI-3090HLHD},01-04-2010 18:43,RCC0023,PC-5889,Logoff
{T4W8-N6TP64FR-4631ORQO},01-04-2010 07:50,MRW0024,PC-3592,Logon
{Y9I5-C9OG77KR-2181KAYL},01-04-2010 15:45,MRW0024,PC-3592,Logoff
{D7W1-F2JC63LB-0464HKBT},01-04-2010 09:32,KRB0025,PC-8151,Logon
{P8T6-O6FO10ZB-0975ULXJ},01-04-2010 13:49,KRB0025,PC-8151,Logon
{L5K7-U6LL28MS-0672VTDP},01-04-2010 20:28,KRB0025,PC-8151,Logoff
{Z7S1-W7BP03HX-5466ZBOM},01-04-2010 06:32,EBP0026,PC-0410,Logon
{W0L5-Z6DE59XX-0848MICI},01-04-2010 14:21,EBP0026,PC-0410,Logoff
{Q7E9-Z1JT69FV-1614JKQB},01-04-2010 07:59,AVH0027,PC-4433,Logon
{X1I0-X1GD25UB-2420HPPG},01-04-2010 16:48,AVH0027,PC-4433,Logoff
{S5Y5-G8FP46NZ-9791AUND},01-04-2010 07:45,SBG0028,PC-9601,Logon
{P5E1-C5RG57IO-7465RAHV},01-04-2010 16:49,SBG0028,PC-9601,Logoff
{T8F0-J3WF00GY-9573INDB},01-04-2010 09:19,MDH0029,PC-3167,Logon
{R5H8-D5ZH08ZS-3503LHDN},01-04-2010 19:15,MDH0029,PC-3167,Logoff
{Q8G6-Q8LA70DQ-5322BILD},01-04-2010 08:06,LIV0030,PC-9350,Logon
{F2Z9-X8GO06ZB-6104KYLD},01-04-2010 19:02,LIV0030,PC-9350,Logoff
{X7C1-X9BY52PL-2496EWTR},01-04-2010 08:34,AMP0031,PC-4636,Logon
{J0U6-N1LW23NH-2413YPVT},01-04-2010 14:19,AMP0031,PC-4636,Logon
{R5Y6-P4AP07WY-2935HXRJ},01-04-2010 16:48,AMP0031,PC-4636,Logoff
{O7K1-R6WX32TQ-8137KFYS},01-04-2010 08:09,VJR0032,PC-7697,Logon
{P5C8-Q9BX99XT-4766YGPP},01-04-2010 17:45,VJR0032,PC-7697,Logoff
{L1V4-Q5PV17XP-7924DDPC},01-04-2010 08:47,HBN0033,PC-4829,Logon
{E2M2-A7RL50ZP-8904LPFC},01-04-2010 15:55,HBN0033,PC-4829,Logoff
{F9Y9-C4RX47WY-2164YIJR},01-04-2010 08:21,JMH0034,PC-6866,Logon
{W4N7-I2BN64JG-9357AJAB},01-04-2010 19:43,JMH0034,PC-6866,Logoff
{Y6Z2-C2KD24EQ-1125WXCT},01-04-2010 08:58,GOB0035,PC-6715,Logon
{O5M2-V6QS74MF-2625BEQS},01-04-2010 18:05,GOB0035,PC-6715,Logoff
{D5Q9-W3RY01KT-3845BKNQ},01-04-2010 08:57,KMH0036,PC-6695,Logon
{O7F1-M4PF65RA-5411ZQFW},01-04-2010 17:51,KMH0036,PC-6695,Logoff
{M7U6-Q2OO57OL-4297AGFS},01-04-2010 06:45,YIS0037,PC-7840,Logon
{P3X2-S3HG91VA-4806HCJW},01-04-2010 16:59,YIS0037,PC-7840,Logoff
{E4Q4-S4JK54FV-8610YEPO},01-04-2010 07:51,AMD0038,PC-3812,Logon
{A4P1-B7XL06QQ-1854SUAL},01-04-2010 15:49,AMD0038,PC-3812,Logoff
{S0T4-Q0VF52GX-9333TOWH},01-04-2010 08:06,KIH0039,PC-0388,Logon
{S1S3-W5PD91MG-6802JVZI},01-04-2010 18:48,KIH0039,PC-0388,Logoff
{B5H7-S8AC42XN-9604ZFSD},01-04-2010 08:28,JAO0040,PC-5448,Logon
{T8J4-R8EH68VO-9570MQFM},01-04-2010 17:09,JAO0040,PC-5448,Logoff
{K6R8-V0DY54ZW-6721EONS},01-04-2010 07:06,JLH0041,PC-5579,Logon
{D7E7-S7GI15RF-0823XGVK},01-04-2010 10:50,JLH0041,PC-5579,Logon
{R4S7-R2PV49QU-7565BSVA},01-04-2010 12:16,JLH0041,PC-6927,Logon
{S7F6-B5BX54PM-4275EUHH},01-04-2010 12:20,JLH0041,PC-6927,Logoff
{B4U9-U9CA30ET-3561GERI},01-04-2010 15:54,JLH0041,PC-5579,Logoff
{C8R4-V4BO60DV-9151GSBQ},01-04-2010 07:39,KJL0042,PC-3147,Logon
{T7C1-Q0PR89LE-5274TSLP},01-04-2010 17:57,KJL0042,PC-3147,Logoff
{N3Z9-U5RO21VZ-3621FOXD},01-04-2010 07:34,SCW0043,PC-9904,Logon
{D4A1-H4DQ08TE-2756WWWU},01-04-2010 15:33,SCW0043,PC-9904,Logoff
{D8X5-G2LH86ST-6897RGMC},01-04-2010 06:37,MHV0044,PC-9452,Logon
{N0T5-O3WJ46BH-7877OQZL},01-04-2010 10:56,MHV0044,PC-9452,Logon
{R4G8-N9XR26HT-6822TXJI},01-04-2010 17:32,MHV0044,PC-9452,Logoff
{P8V0-Z8ZU56UC-1733BMGQ},01-04-2010 07:57,KCM0045,PC-1783,Logon
{W1P0-Y2CK63GO-4849ROQY},01-04-2010 15:50,KCM0045,PC-1783,Logoff
{K0Z0-G3HE00QD-8353WOYN},01-04-2010 08:07,KLC0046,PC-2198,Logon
{L1T8-R0MZ98YK-4412GFGV},01-04-2010 17:01,KLC0046,PC-2198,Logoff
{P0O4-M1ZR97OL-7717YQDW},01-04-2010 07:26,XJH0047,PC-1519,Logon
{H3Z9-A9GI54RY-7445CHQD},01-04-2010 12:02,XJH0047,PC-1519,Logon
{T6H3-O7WH84UH-4313AFUF},01-04-2010 17:09,XJH0047,PC-1519,Logoff
{T7H7-V8IA10IK-0384FNNJ},01-04-2010 07:14,NSP0048,PC-6053,Logon
{A4M9-I7PA71PW-4772MOQC},01-04-2010 10:45,NSP0048,PC-6053,Logon
{V8L3-V9HE73NF-5072GJWZ},01-04-2010 16:56,NSP0048,PC-6053,Logoff
{U4B9-V5YC78FO-7721VIAP},01-04-2010 08:26,TCA0049,PC-4655,Logon
{Z8E7-G9YK18EO-5679MPLR},01-04-2010 19:24,TCA0049,PC-4655,Logoff
{J2O6-Q5MO84EO-9556EKKZ},01-04-2010 07:27,ESM0050,PC-5314,Logon
{A8V3-T4DX59HD-8009BUUP},01-04-2010 07:39,ESM0050,PC-2976,Logon
{K0Q6-N7AU85NQ-2617FSRS},01-04-2010 08:22,ESM0050,PC-2976,Logoff
{D2F0-N7TW60FC-8376OKCB},01-04-2010 11:27,ESM0050,PC-5314,Logon
{F3V9-Z0JR72TI-2891UZXH},01-04-2010 16:28,ESM0050,PC-5314,Logoff
{T7V4-Q1HW82JY-1773FKLF},01-04-2010 08:05,DJK0051,PC-9268,Logon
{X6J2-I1MW85RT-2429LEEL},01-04-2010 18:10,DJK0051,PC-9268,Logoff
{P8N1-P7KI17DI-3679ZADU},01-04-2010 08:24,GFL0052,PC-9514,Logon
{B3N0-Z7MK49QI-4012IPYM},01-04-2010 16:10,GFL0052,PC-9514,Logoff
{W2D8-D7CG75DQ-9639OOPV},01-04-2010 08:08,GKJ0053,PC-4607,Logon
{W4Z3-X6GP97IF-6014VXDZ},01-04-2010 19:20,GKJ0053,PC-4607,Logoff
{K0D5-D0NE26ZL-4053PDZP},01-04-2010 06:56,XDB0054,PC-5634,Logon
{G3T0-R0AH79CJ-0294AYBS},01-04-2010 07:11,XDB0054,PC-1168,Logon
{G6F4-J8ZW48AJ-1376HIZI},01-04-2010 08:02,XDB0054,PC-1168,Logoff
{V0P2-F4FI56XO-6323LVVS},01-04-2010 12:30,XDB0054,PC-5634,Logon
{T0J5-X5QD72MA-1793RGEY},01-04-2010 15:55,XDB0054,PC-5634,Logoff
{E5N1-F7OK43GP-9499RKLR},01-04-2010 09:26,MTZ0055,PC-5540,Logon
{X1V0-J8UQ36VD-7419ERCU},01-04-2010 18:18,MTZ0055,PC-5540,Logoff
{K3K5-X4ZF65IO-2913LAZC},01-04-2010 08:47,BCG0056,PC-3782,Logon
{R9P7-G4VY47EJ-1426FINS},01-04-2010 14:04,BCG0056,PC-3782,Logon
{G7X4-H2EQ20DM-3273JNGI},01-04-2010 18:54,BCG0056,PC-3782,Logoff
{Q2L1-J7BT70DF-6471IZXU},01-04-2010 07:13,NHP0057,PC-2581,Logon
{A7F6-J5GP56UR-0069HLWC},01-04-2010 15:09,NHP0057,PC-2581,Logoff
{Y7L9-M0CB01DK-2442PVQS},01-04-2010 06:48,DKP0058,PC-8061,Logon
{S5D9-G8YJ09SS-0612KLDO},01-04-2010 11:28,DKP0058,PC-8061,Logon
{W4L5-C3BR02JI-1120RVXU},01-04-2010 14:38,DKP0058,PC-8061,Logoff
{M2T0-K8TP00IZ-2916WPHM},01-04-2010 07:59,AAL0059,PC-2967,Logon
{T6J5-B1UW43WO-4613AEGK},01-04-2010 16:33,AAL0059,PC-2967,Logoff
{K7R5-V1BA61ZW-6532WTYW},01-04-2010 07:22,JAW0060,PC-3289,Logon
{W4H6-L3PA94BX-2481NXRJ},01-04-2010 17:40,JAW0060,PC-3289,Logoff
{E0E9-A5UQ96SC-5188CXFY},01-04-2010 09:12,HSR0061,PC-1916,Logon
{O9V8-Z7LP44UO-1778JAEL},01-04-2010 15:09,HSR0061,PC-1916,Logon
{G8M9-J3DI23YY-1556BCUZ},01-04-2010 19:04,HSR0061,PC-1916,Logoff
{G3K5-N6FK29PW-6296KVRE},01-04-2010 08:07,TSR0062,PC-9151,Logon
{L7G0-V1NT00MA-7875GOJQ},01-04-2010 15:47,TSR0062,PC-9151,Logoff
{P6U6-J2CV10BG-9452XZZR},01-04-2010 08:21,RAR0063,PC-5490,Logon
{F1T3-W1FH06OP-0228MDXZ},01-04-2010 19:16,RAR0063,PC-5490,Logoff
{A3W8-L8YD67LF-7638EHNP},01-04-2010 08:15,JFC0064,PC-0836,Logon
{R5G1-E4WH25GN-6291CKWK},01-04-2010 17:22,JFC0064,PC-0836,Logoff
{E1K6-Z7MQ26LG-0874EHLO},01-04-2010 07:09,WCM0065,PC-9280,Logon
{K6X8-Z9RG71TL-1388YYAT},01-04-2010 07:58,WCM0065,PC-2617,Logon
{D6D9-P0RY10VL-0612XJND},01-04-2010 08:30,WCM0065,PC-2617,Logoff
{V7B1-X7TN33WH-0493VWRX},01-04-2010 16:28,WCM0065,PC-9280,Logoff
{V9C8-W4NJ11OQ-8330MZEL},01-04-2010 06:34,FWM0066,PC-2212,Logon
{B7S1-Q5MV28NH-1631FBKQ},01-04-2010 10:06,FWM0066,PC-2212,Logon
{F7N8-I4BQ57YO-9373AYPN},01-04-2010 16:27,FWM0066,PC-2212,Logoff
{Z1E3-A8BM88WY-0505EWRN},01-04-2010 08:59,JDS0067,PC-2532,Logon
{T6J4-G0JX16JH-0518KUZU},01-04-2010 18:36,JDS0067,PC-2532,Logoff
{L9K7-T3DG17KH-3860PAAC},01-04-2010 07:34,AWH0068,PC-0383,Logon
{P5Y5-F9AB98SV-3729NIYX},01-04-2010 19:43,AWH0068,PC-0383,Logoff
{E9W4-X7VD48XY-7799XDDT},01-04-2010 08:18,AAY0069,PC-3887,Logon
{R8P6-F7VW38YW-3783QFIQ},01-04-2010 17:11,AAY0069,PC-3887,Logoff
{Y3H9-Z6RG69HM-1835JYDS},01-04-2010 06:34,GSH0070,PC-5143,Logon
{O0J4-B0KP73MC-1790DFIL},01-04-2010 11:09,GSH0070,PC-1401,Logon
{E7G0-D8IT24TE-7454HEVX},01-04-2010 11:30,GSH0070,PC-1401,Logoff
{C0V6-H9VM97CQ-5396FRQC},01-04-2010 16:41,GSH0070,PC-5143,Logoff
{K1R2-X8JP34TC-4415QOWF},01-04-2010 07:30,RAG0071,PC-9700,Logon
{K5T3-H8MD39EB-1417FHDX},01-04-2010 18:19,RAG0071,PC-9700,Logoff
{T9U1-R1HS89FX-3416DZFG},01-04-2010 07:34,UCV0072,PC-7498,Logon
{P4A3-Y2PZ32WR-7997OLEB},01-04-2010 12:12,UCV0072,PC-7498,Logon
{P7M3-L7RI41SP-3801ITDO},01-04-2010 15:40,UCV0072,PC-7498,Logoff
{E7G6-H2JO67XH-7335QOEC},01-04-2010 07:58,IJE0073,PC-6580,Logon
{H0S2-A1IX73EA-0325KVQY},01-04-2010 20:04,IJE0073,PC-6580,Logoff
{Q9X0-W5PF82FM-6406VEBD},01-04-2010 09:25,BCB0074,PC-5036,Logon
{Z4T9-C3VY10LZ-9713KAQK},01-04-2010 13:09,BCB0074,PC-5036,Logon
{X9J3-T7VN57UD-9025DSFW},01-04-2010 18:01,BCB0074,PC-5036,Logoff
{V9A3-M1ZA34GU-9611NCYT},01-04-2010 08:45,JDB0075,PC-1200,Logon
{Q9S4-P6QT42UZ-1019NEIT},01-04-2010 12:56,JDB0075,PC-1200,Logon
{C9I0-A2RU78AG-5101PXJO},01-04-2010 18:37,JDB0075,PC-1200,Logoff
{X0M7-V6IP87SX-4955PAVQ},01-04-2010 08:18,CMH0076,PC-6751,Logon
{C2P8-E0WE88YE-1021JPYA},01-04-2010 16:20,CMH0076,PC-6751,Logoff
{Z9W8-K8HP16XD-9042PMFD},01-04-2010 08:20,CDS0077,PC-2877,Logon
{T4K7-B4DP44VR-1289BKVG},01-04-2010 17:26,CDS0077,PC-2877,Logoff
{B6K1-T0RM00WB-0447SSNX},01-04-2010 07:18,CKR0078,PC-8889,Logon
{O1P8-M1RS32WO-1260TGPP},01-04-2010 16:28,CKR0078,PC-8889,Logoff
{E8D3-L9AO20MK-1192DIUC},01-04-2010 07:51,RRM0079,PC-8613,Logon
{Z1M2-H6ID08XG-9037MDJZ},01-04-2010 17:55,RRM0079,PC-8613,Logoff
{U4I0-G2SN14YB-0663NYBN},01-04-2010 08:10,ABR0080,PC-7955,Logon
{S7W4-O5RO53NW-2691LPPB},01-04-2010 13:04,ABR0080,PC-7955,Logon
{Z7L6-O7EQ10JD-1140TMQG},01-04-2010 17:56,ABR0080,PC-7955,Logoff
{G2S5-F6NR84NZ-3908TIUW},01-04-2010 07:21,BAC0081,PC-6369,Logon
{L0G9-C4QD31AX-4489IFXI},01-04-2010 08:22,BAC0081,PC-8660,Logon
{J3S4-A1SZ69HP-6507LTJO},01-04-2010 09:05,BAC0081,PC-8660,Logoff
{U5M1-N5HG05GU-1827VJOK},01-04-2010 13:18,BAC0081,PC-6369,Logon
{O2R4-H2BX78RZ-9100ARMJ},01-04-2010 15:23,BAC0081,PC-6369,Logoff
{E9X9-V4IF81OD-9578RFDG},01-04-2010 08:15,GVH0082,PC-1550,Logon
{X2J0-L1NA55WS-5412NLCW},01-04-2010 17:01,GVH0082,PC-1550,Logoff
{I7A8-U2ZD71OF-9802UFVT},01-04-2010 07:42,SCS0083,PC-8709,Logon
{M2I8-J4UO13PN-4647YETF},01-04-2010 16:57,SCS0083,PC-8709,Logoff
{K0K9-K5IZ36PW-4150SIAV},01-04-2010 08:37,AEM0084,PC-4517,Logon
{W5Q4-B0UJ86SY-6880XTBI},01-04-2010 14:10,AEM0084,PC-4517,Logon
{Y4N0-W7EM94TN-8983OXVF},01-04-2010 18:52,AEM0084,PC-4517,Logoff
{O7I3-W0XH32JP-2176KYBR},01-04-2010 07:55,BKG0085,PC-3639,Logon
{K8O4-E2GN29GU-4353NRKF},01-04-2010 18:46,BKG0085,PC-3639,Logoff
{Q9F7-Q8OS96VI-9770TUSN},01-04-2010 08:20,RBH0086,PC-4267,Logon
{Q0N4-S9BR72LM-6540XXHO},01-04-2010 16:01,RBH0086,PC-4267,Logoff
{J0D3-P3TS87CT-2144KMAU},01-04-2010 08:10,HAG0087,PC-4210,Logon
{F9X7-N7PV79KX-9580UAYP},01-04-2010 16:47,HAG0087,PC-4210,Logoff
{S2W2-B3DO62BZ-9239UHJP},01-04-2010 08:08,IBL0088,PC-8377,Logon
{V3A1-N5QJ30OP-8819JZJW},01-04-2010 17:49,IBL0088,PC-8377,Logoff
{G0F7-S7FJ86JL-3151LCOG},01-04-2010 07:17,HCH0089,PC-2597,Logon
{F6A8-N3VP90XP-1794CANZ},01-04-2010 12:16,HCH0089,PC-2597,Logon
{K9H4-T7TB44YG-3536SLBX},01-04-2010 18:20,HCH0089,PC-2597,Logoff
{S2I7-Q0LV30WQ-3253QYPI},01-04-2010 07:48,MFS0090,PC-5346,Logon
{A3I7-O5VM84VR-6823PXUM},01-04-2010 15:49,MFS0090,PC-5346,Logoff
{S9P0-W7YH65UN-5939UZEZ},01-04-2010 08:51,KHL0091,PC-3564,Logon
{C6U1-P7LV63SP-3752IXTQ},01-04-2010 17:30,KHL0091,PC-3564,Logoff
{S0J2-R6TB30YJ-0334UGDK},01-04-2010 07:19,GWR0092,PC-1714,Logon
{D8S7-G1XI54ED-6933GHOE},01-04-2010 19:32,GWR0092,PC-1714,Logoff
{A2X0-Q9IN21QE-2707ESIK},01-04-2010 09:13,RBM0093,PC-0865,Logon
{U3U8-E8KI52JQ-4147NOUS},01-04-2010 13:22,RBM0093,PC-0865,Logon
{Y8T3-T9UK20PH-9950LIAS},01-04-2010 15:36,RBM0093,PC-5345,Logon
{G4K1-R9ZR09KY-0815WWWG},01-04-2010 16:28,RBM0093,PC-5345,Logoff
{R8Q6-N2QE79IX-4727LTBP},01-04-2010 17:58,RBM0093,PC-0865,Logoff
{P6O2-E0UY42GI-9374PKPE},01-04-2010 08:50,DLE0094,PC-0591,Logon
{N3B4-L5NV97AD-4949RXCB},01-04-2010 12:22,DLE0094,PC-0475,Logon
{G7P0-A3PC69JS-2577AUEF},01-04-2010 13:16,DLE0094,PC-0475,Logoff
{P4A5-F4MO34NA-5776ZOJX},01-04-2010 16:09,DLE0094,PC-0591,Logoff
{G7W1-P3TR16YO-2771UBQP},01-04-2010 08:24,EAR0095,PC-7947,Logon
{I6V4-F0RR39YJ-4852NIEW},01-04-2010 18:26,EAR0095,PC-7947,Logoff
{L0P2-T6YG63WU-4471ADLE},01-04-2010 07:03,WAW0096,PC-8554,Logon
{F0X8-C4QI44RR-7892OGEP},01-04-2010 15:00,WAW0096,PC-8554,Logoff
{Q4Z1-S9ER17NU-1945PYNB},01-04-2010 08:17,JEL0097,PC-5235,Logon
{I4P5-B9QG89SP-9478RQEL},01-04-2010 17:23,JEL0097,PC-5235,Logoff
{J3G1-V0ZO98LU-3002YDUG},01-04-2010 06:15,GOF0098,PC-5628,Logon
{N7H3-B3BJ94CM-4560BHGV},01-04-2010 11:58,GOF0098,PC-5628,Logon
{E1T8-P1QB08JM-6724LOUE},01-04-2010 15:17,GOF0098,PC-5628,Logoff
{D6H0-Q0EO65UW-7408SZIL},01-04-2010 08:23,MER0099,PC-6921,Logon
{P5D3-I5FN32JY-0866QNZB},01-04-2010 19:05,MER0099,PC-6921,Logoff
{L9G9-T3YZ23JQ-6229ELAN},01-04-2010 08:34,LBM0100,PC-3612,Logon
{X1D8-H1IP27LZ-9532SLNP},01-04-2010 16:41,LBM0100,PC-3612,Logoff
{R9M5-K4BA52ZA-9241XXKN},01-04-2010 07:46,PJK0101,PC-8421,Logon
{G3A7-J7NT07TZ-7151SDDA},01-04-2010 17:09,PJK0101,PC-8421,Logoff
{B3T3-O3UU62WS-1465NKXE},01-04-2010 08:34,NKF0102,PC-1367,Logon
{U0D0-P9TX76QH-6438KQUU},01-04-2010 18:19,NKF0102,PC-1367,Logoff
{G5Y1-I1MC42YL-6424YJUN},01-04-2010 06:35,BKM0103,PC-8475,Logon
{A3A1-W2AZ46KL-9296UPYQ},01-04-2010 09:53,BKM0103,PC-2568,Logon
{Q5B9-F3UQ85AB-0634XWNQ},01-04-2010 10:04,BKM0103,PC-2568,Logoff
{W7D7-P9QV62HM-2828XLJN},01-04-2010 11:23,BKM0103,PC-8475,Logon
{E2Z7-D2PA56RM-6936QSVH},01-04-2010 17:37,BKM0103,PC-8475,Logoff
{F9G8-Y2WA91YK-1376LJSI},01-04-2010 08:10,CJC0104,PC-4408,Logon
{L6Z6-B4LE26NV-6713VGEL},01-04-2010 16:29,CJC0104,PC-4408,Logoff
{S6N6-N4BK29AP-2160YESK},01-04-2010 07:54,FAB0105,PC-4114,Logon
{R0B0-S7LY14QG-9926TXTG},01-04-2010 16:57,FAB0105,PC-4114,Logoff
{E0O0-T6MQ28US-3621RYUM},01-04-2010 08:13,CMH0106,PC-7948,Logon
{R8O7-J7TL42YC-4442QXRR},01-04-2010 17:55,CMH0106,PC-7948,Logoff
{S9Y2-X7XF07NP-4337CDPP},01-04-2010 07:27,ZJG0107,PC-3008,Logon
{F7K5-T0QO21LY-9421ALQI},01-04-2010 12:04,ZJG0107,PC-3008,Logon
{A9R8-F6PA00CA-4248AWYE},01-04-2010 18:40,ZJG0107,PC-3008,Logoff
{Q6J7-W4XG39DW-8027PEWW},01-04-2010 07:38,JTB0108,PC-6877,Logon
{I0K0-U1DN32XW-6148CTUV},01-04-2010 10:43,JTB0108,PC-5067,Logon
{T9X7-V7DO27ET-6077IBUZ},01-04-2010 11:23,JTB0108,PC-5067,Logoff
{I2X1-C4AI06DN-8887CEFN},01-04-2010 15:41,JTB0108,PC-6877,Logoff
{B1Q5-R9WU48SX-5343UZBX},01-04-2010 06:54,BBH0109,PC-6132,Logon
{A6B4-O8TL96OC-9836PPAM},01-04-2010 10:44,BBH0109,PC-6132,Logon
{I1S7-G6HB12PD-8972UMRO},01-04-2010 15:48,BBH0109,PC-6132,Logoff
{J5T9-Q2IO73GZ-9127CAML},01-04-2010 08:10,JNJ0110,PC-0905,Logon
{G6C5-R3RZ67LZ-2714GQHQ},01-04-2010 16:49,JNJ0110,PC-0905,Logoff
{J1O8-D4VU99YV-5662NDGJ},01-04-2010 07:01,MRJ0111,PC-0707,Logon
{B6P1-B2ZP00ID-0113UITR},01-04-2010 10:56,MRJ0111,PC-0707,Logon
{D5W5-G9AL90WD-4078DOHQ},01-04-2010 10:57,MRJ0111,PC-1261,Logon
{N9O8-A1XT94TS-9703MNGH},01-04-2010 11:07,MRJ0111,PC-1261,Logoff
{R6F6-H4PX22VQ-6021BBJO},01-04-2010 14:19,MRJ0111,PC-0707,Logoff
{A9U9-Y6ZL64HW-6459ANUO},01-04-2010 09:12,TBC0112,PC-2082,Logon
{Y4P5-A9XS85FZ-2319GZYZ},01-04-2010 12:45,TBC0112,PC-2082,Logon
{J8K9-Y8JP22HU-9605WUSI},01-04-2010 20:14,TBC0112,PC-2082,Logoff
{I0H2-H7DL08ST-2221YTYG},01-04-2010 07:56,KJP0113,PC-9686,Logon
